RPM,Flow Rate
50,3.03
75,3.41
100,3.39
125,3.39
150,3.35
175,3.35
200,3.35
225,3.34
250,3.32
275,4.33
300,4.34
325,4.33
350,4.33
375,5.33
400,5.31
425,5.32
450,6.31
475,6.31
500,6.32
525,7.3
550,7.27
575,7.31
600,8.27
625,8.36
650,9.35
675,9.31
700,10.29
725,10.32
750,11.35
775,11.39
800,12.36
825,12.39
850,13.39
875,13.26
900,14.4
925,15.35
950,15.39
975,16.36
1000,17.37
1025,17.37
1050,18.37
1075,19.36
1100,20.39
1125,21.34
1150,21.37
1175,22.4
1200,23.35
1225,24.4
1250,25.34
1275,25.37
1300,26.39
1325,27.37
1350,28.43
1375,29.46
1400,30.42
1425,31.47
1450,32.45
1475,33.41
1500,34.4
1525,35.44
1550,36.45
1575,37.47
1600,38.44
1625,39.69
1650,41.26
1675,42.52
1700,43.46
1725,44.47
1750,45.51
1775,46.84
1800,48.56
1825,49.58
1850,51.55
1875,51.73
1900,53.54
1925,54.75
1950,56.56
1975,57.64
2000,59.41
2025,60.31
2050,61.61
2075,63.64
2100,64.67
2125,65.65
2150,68.02
2175,69.06
2200,70.69
